company_name,year_founded,industries,hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,acquired_by,acquired_price,ipo_status,ipo_valuation,ipo_date,growth_confidence,growth_category,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors
ABL Space Systems,2017,"Aerospace, Information Technology, Satellite Communication","El Segundo, California, United States",90245,ABL Space Systems specializes in building rockets to launch satellites.,Active,2408,,2024-04-14,Debt Financing,,,Private,,,,Growing,$1M to $10M,251-500,6,479000000,"Leonid Capital Partners, Fidelity, Venrock, New Science Ventures, Lynett Capital",8
Pixxel,2019,"Aerospace, Geospatial, Information Technology, Satellite Communication","El Segundo, California, United States",90245,Pixxel is a space data company that develops a constellation of hyperspectral earth imaging satellites.,Active,5897,Early Stage Venture,2023-06-01,Series B,,,Private,,,,Growing,$10M to $50M,101-250,8,70980000,"Techstars, Google, Lightspeed Venture Partners, Creative Destruction Lab (CDL), Blume Ventures",28
Prime Lightworks,2015,"Aerospace, Electronics, Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Satellite Communication, Space Travel","Culver City, California, United States",90230,Prime Lightworks Inc. manufactures electric propulsion systems for space satellites.,Active,165881,,2020-04-22,Non-equity Assistance,,,Private,,,,,Less than $1M,10-Jan,4,120000,"Y Combinator, Los Angeles Cleantech Incubator, Starburst Accelerator, Meyer Global, Ozzy Akay",5
Apex - Spacecraft Manufacturing,2022,"Aerospace, Commercial, Manufacturing","Los Angeles, California, United States",90230,Apex manufactures smallsat buses for commercial and government customers.,Active,8060,Early Stage Venture,,Series B,,,Private,,,,Growing,$1M to $10M,101-250,3,122000000,"Andreessen Horowitz, Lux Capital, 8VC, CRV, Toyota Ventures",28
Pangea Global Technologies,2021,"AgTech, Energy Efficiency, Lighting, Manufacturing, SaaS, Software","Los Angeles, California, United States",90220,Pangea Global Technologies is the nation's leading technology solutions provider and manufacturer of LED lighting.,Active,767147,,,,,,Private,,,,,Less than $1M,101-250,,,,
UVertz,2017,"Advertising, Digital Marketing, Information Technology, Marketing, Mobile Apps","Beverly Hills, California, United States",90212,Driving innovation with Ads on the Go.,Active,1492397,,,,,,Private,,,,,,,,,,
STEALTH,2017,"Artificial Intelligence (AI), Venture Capital","Los Angeles, California, United States",90210,STEALTH is a one of a kind Venture Studio that’s building disruptive companies positioned to fundamentally change existing markets.,Active,1898113,,,,,,Private,,,,,,51-100,,,,
Ordermark,2016,"Information Technology, Restaurants, SaaS, Software","Los Angeles, California, United States",90094,Ordermark is a technology platform enabling restaurants to aggregate orders across online ordering services into a single dashboard.,Active,577294,M&A,,,UrbanPiper,,Private,,,,,$10M to $50M,101-250,,,,
RetailMatch,2015,"Commercial Real Estate, Information Technology, Real Estate","West Hollywood, California, United States",90069,"RetailMatch is a Matchmaker for Tenants, Agents, and Landlords.",Active,3394863,,,,,,Private,,,,,,11-50,,,,
K2 Space,2022,"Aerospace, Space Travel","West Hollywood, California, United States",90069,K2 Space focuses on the latest generation of launch vehicles that will open the doors to the solar system.,Active,39957,Seed,,Seed,,,Private,,,,,$1M to $10M,10-Jan,3,15528471,"First Round Capital, Nitesh Banta, Spacecadet Ventures, Valhalla Ventures, Countdown Capital",10
Detonation Space,2020,Aerospace,"West Hollywood, California, United States",90069,Detonation Space is a manufacturer of aerospace vehicles.,Active,129893,Seed,2021-06-02,Pre-Seed,,,Private,,,,,,11-50,1,145000,,
Krypton,2021,"Information Technology, Software","Los Angeles, California, United States",90066,Krypton is the world’s first exchange that provides complete protection against all sources of hidden costs in trading.,Active,45331,Seed,2022-07-13,Seed,,,Private,,,,,$1M to $10M,11-50,1,7000000,"Alliance DAO, Framework Ventures, HashKey Capital, Finality Capital Partners, GSR Ventures",7
Komodal,2017,"Artificial Intelligence (AI), Blockchain, Information Technology, Predictive Analytics, Supply Chain Management, Transportation","Los Angeles, California, United States",90066,Intelligent solutions for optimized movement of freight,Active,2248020,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
MSBAI,2017,"Artificial Intelligence (AI), Cloud Computing, Machine Learning, Simulation, Software","Los Angeles, California, United States",90064,MSBAI (Techstars '20) develops GURU — a cognitive AI assistant that enables untrained users to run specialized simulation software.,Active,77450,Seed,2021-07-18,Seed,,,Private,,,,Growing,$1M to $10M,10-Jan,7,3354000,"Techstars, Cleantech Open, Meyer Global",3
Driftr,2017,"Hospitality, Information Technology, Property Management, Social Media, Travel, Web Apps","Los Angeles, California, United States",90064,Know Your Worlds Better,Active,3090804,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
Verdant,2018,"Artificial Intelligence (AI), Biotechnology, Machine Learning","Los Angeles, California, United States",90042,Verdant AI builds artificial intelligence products in the bioinformatics space.,Active,842424,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
DozeraX Space,2022,"Satellite Communication, Space Travel","Los Angeles, California, United States",90028,"Space, satellite, rockets, Space station",Active,3259614,,,,,,Private,,,,,,10001+,,,,
QuantumFlow,2015,"Aerospace, Internet of Things, Manufacturing, Military, Space Travel","Los Angeles, California, United States",90027,"QuantumFlow is a manufacturing company that supplies RF, microwave, and millimeter-wave active and passive components.",Active,3079137,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Unite Kitchens,2020,"Information Services, Information Technology, Internet","Los Angeles, California, United States",90026,A community and technology focused kitchen rental services,Active,2529151,,,,,,Private,,,,,,10-Jan,,,,
Pinscreen,2015,"Artificial Intelligence (AI), Consumer Applications, Information Technology, Media and Entertainment, Mobile Apps, Photo Editing, Software, Video Games, Virtual Reality","Los Angeles, California, United States",90025,"We build the most advanced Gen-AI technology for VFX and interactive experiences, including visual dubbing, face swaps, and deepfakes.",Active,65785,Seed,2021-08-10,Seed,,,Private,,,,Growing,$1M to $10M,11-50,5,5800000,"Lux Capital, Cerence, SBVA, Colopl Next, Network.VC",6
Coral,2018,"Apps, Artificial Intelligence (AI), Consumer Electronics, Electronics, Product Design, Robotics, UX Design","Los Angeles, California, United States",90016,"Coral is a human-centric robotics company, designing robots for people to enhance their everyday lives.",Active,2024670,,,,,,Private,,,,,$10M to $50M,10-Jan,,,,
Copernic Space,2020,"Aerospace, Blockchain, Cryptocurrency, Software, Space Travel","Los Angeles, California, United States",90001,Copernic Space allows users to access and manage all space assets in one place.,Active,140351,Seed,2021-11-16,Pre-Seed,,,Private,,,,,Less than $1M,10-Jan,1,150000,Startup Wise Guys,1
JACAL,2021,"Aerospace, Management Consulting, Military","Reno, Nevada, United States",89521,"JACAL provides engineering, technology, and management services.",Active,2064933,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Laicos Cloud,2018,"Computer, Information Technology, Software","Las Vegas, Nevada, United States",89135,We offer affordable Cloud and High-Performance Computing to startups and small businesses.,Active,3340390,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
Go.Cars,2015,"Domain Registrar, Information Technology","Las Vegas, Nevada, United States",89119,".CARS provides specialized domain names for the automotive industry, enhancing online presence and brand recognition.",Active,1745624,,,,,,Private,,,,,,11-50,,,,
Deimos-One,2020,"Aerospace, Analytics, Artificial Intelligence (AI), Big Data, Remote Sensing, Robotics","Las Vegas, Nevada, United States",89118,Deimos-One designs and develops the world’s most advanced autonomous space vehicles.,Active,707686,,,,,,Private,,,,Growing,$1M to $10M,10-Jan,,,,
QUANTUM COPPER INC,2021,"Battery, Chemical, Manufacturing, Plastics and Rubber Manufacturing","Las Vegas, Nevada, United States",89113,Solving the Fire Risk in Lithium Batteries + improving energy Density performance,Active,81237,Seed,2023-07-10,Pre-Seed,,,Private,,,,,,10-Jan,1,1500000,Battle Born Venture,1
Space Systems Services,2017,"Aerospace, Business Development, Training","Las Cruces, New Mexico, United States",88011,"Space Systems Services offers direct systems engineering, program management and technical assistance support.",Active,1847406,,,,,,Private,,,,,$1M to $10M,11-50,,,,
SciVista,2018,"Analytics, Information Technology, Internet of Things","Santa Fe, New Mexico, United States",87507,collaborative virtual reality platforms for data visualization and analysis,Active,103585,,2019-07-31,Grant,,,Private,,,,,$1M to $10M,10-Jan,1,1000000,,
X-Bow Launch Systems,2016,"Aerospace, Industrial, Manufacturing","Albuquerque, New Mexico, United States",87110,X-Bow Systems is a space technology company that produces solid rocket motors and hypersonic technologies for defense industries.,Active,8012,Early Stage Venture,2024-07-10,Series B,,,Private,,,,Growing,$10M to $50M,101-250,6,159815880,"Capital Factory, Crosslink Capital, Lockheed Martin Ventures, Razor's Edge Ventures, Balerion Space Ventures",12
Katalyst Space Technologies,2019,"Aerospace, Industrial, Space Travel","Prescott, Arizona, United States",86301,"Katalyst Space Technologies revolutionizes satellite operations, space logistics, hardware, and mission design.",Active,83844,Seed,2024-05-07,Seed,,,Private,,,,,Less than $1M,11-50,1,880635,,
SGNT,2017,"Consumer Electronics, Electronics, Information Technology","Tucson, Arizona, United States",85747,"Technology startup in the RFID space set to revolutionize how physical goods are secured with our patented Hardware, Saas, and Consulting.",Active,129091,,2020-05-06,Grant,,,Private,,,,,$1M to $10M,11-50,2,973578,National Science Foundation,1
Asteroids Laboratory,2019,"Aerospace, Life Insurance, Market Research, Space Travel, Technical Support","Tucson, Arizona, United States",85719,"Asteroids Laboratory is an educational institution that provides knowledge on space technology, planetary science, and exploration research.",Active,2010507,,,,,,Private,,,,,,11-50,,,,
Vector Launch,2016,"Aerospace, Space Travel","Tucson, Arizona, United States",85719,Vector offers micro satellite launch services.,Active,21045,Early Stage Venture,2018-10-19,Series B,,,Private,,,,,$1M to $10M,51-100,6,97750000,"Sequoia Capital, Alumni Ventures, Lightspeed Venture Partners, DARPA, DNX Ventures",27
FreeFall Aerospace,2016,"Aerospace, Internet, Remote Sensing, Satellite Communication, Telecommunications","Tucson, Arizona, United States",85716,FreeFall Aerospace is a developer of antenna technology to provide satellite communications and remote sensing for space and ground.,Active,61479,,2024-09-10,Debt Financing,,,Private,,,,Growing,$1M to $10M,11-50,4,2100000,UAVenture Capital,1
Phantom Space,2020,"Aerospace, Space Travel, Transportation","Tucson, Arizona, United States",85710,"Phantom Space focuses on space transportation technology including satellites, propulsion, and launch vehicles.",Active,29757,,2024-03-11,Venture - Series Unknown,,,Private,,,,Growing,$1M to $10M,11-50,6,27655605,"Caravela Capital, Fady Hannah-Shmouni, MD FRCPC, Balerion Space Ventures, Chenel Capital, Reaser Family Office",7
Lunasonde,2016,"Aerospace, Service Industry","Cortaro, Arizona, United States",85652,Lunasonde Provides Aviation And Aerospace Component Manufacturing Services.,Active,30819,Seed,2023-04-18,Non-equity Assistance,,,Private,,,,Growing,$1M to $10M,10-Jan,6,11600000,"Techstars, Seraphim Space, Bantam Group, AWS Space Accelerator, Seldor Capital",5
PlanePoster,2019,"Aerospace, Manufacturing, Printing, Product Design","Wickenburg, Arizona, United States",85390,"PlanePoster is a designer and producer of aircraft cockpit posters for commercial, military, and space aircrafts.",Active,3202738,,,,,,Private,,,,,,11-50,,,,
ProCARE Portal,2016,"Health Care, Information Technology, Intelligent Systems, SaaS, Software","Atlanta, Georgia, United States",85286,"ProCARE Portal is a cloud platform built around a fluid, configurable, rules based engine to automate physician compensation management.",Active,117671,Early Stage Venture,2018-12-12,Convertible Note,,,Private,,,,,$1M to $10M,11-50,2,1000000,,
Cactus Materials,2016,"Manufacturing, Semiconductor, Water","Tempe, Arizona, United States",85284,"Cactus Materials specializes in semiconductor fabrication, space applications, and nano-materials.",Active,54488,,2024-04-01,Venture - Series Unknown,,,Private,,,,Growing,$1M to $10M,11-50,1,2776250,,
